spectre,rhyzotube ,comment
Spectrum00755,376,NA
Spectrum00756,376,NA
Spectrum00757,377,NA
Spectrum00758,377,NA
Spectrum00759,377,NA
Spectrum00760,377,NA
Spectrum00761,377,NA
Spectrum00762,377,NA
Spectrum00763,378,NA
Spectrum00764,378,NA
Spectrum00765,378,NA
Spectrum00766,378,NA
Spectrum00767,378,NA
Spectrum00768,378,NA
Spectrum00769,379,NA
Spectrum00770,379,NA
Spectrum00771,379,NA
Spectrum00772,379,NA
Spectrum00773,379,NA
Spectrum00774,379,NA
Spectrum00775,381,NA
Spectrum00776,381,NA
Spectrum00777,381,NA
Spectrum00778,381,NA
Spectrum00779,381,NA
Spectrum00780,381,NA
Spectrum00781,382,NA
Spectrum00782,382,NA
Spectrum00784,382,NA
Spectrum00785,382,NA
Spectrum00786,382,NA
Spectrum00787,382,NA
Spectrum00788,383,NA
Spectrum00789,383,NA
Spectrum00790,383,NA
Spectrum00791,383,NA
Spectrum00792,383,NA
Spectrum00793,383,NA
Spectrum00794,384,NA
Spectrum00795,384,NA
Spectrum00796,384,NA
Spectrum00797,384,NA
Spectrum00798,384,NA
Spectrum00799,384,NA
Spectrum00800,385,NA
Spectrum00801,385,NA
Spectrum00802,385,NA
Spectrum00803,385,NA
Spectrum00804,385,NA
Spectrum00805,385,NA
Spectrum00806,386,NA
Spectrum00807,386,NA
Spectrum00808,386,NA
Spectrum00810,386,NA
Spectrum00811,386,NA
Spectrum00812,386,NA
Spectrum00813,387,NA
Spectrum00814,387,NA
Spectrum00815,387,NA
Spectrum00816,387,NA
Spectrum00817,387,NA
Spectrum00818,387,NA
Spectrum00819,388,NA
Spectrum00820,388,NA
Spectrum00821,388,NA
Spectrum00822,388,NA
Spectrum00823,388,NA
Spectrum00824,388,NA
